Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,location
-57,-90,-53,-85,-40,-70,-49,6
-71,-83,-78,-80,-57,-81,-60,5
-54,-86,-46,-82,-50,-66,-43,6
-90,0,-80,0,0,-37,0,1
-81,0,-80,0,0,-41,0,1
-70,-87,-78,-78,-61,-83,-65,5
-68,-83,-78,-80,-67,-81,-66,5
-67,-64,-82,-92,-81,-23,-86,3
-81,0,-56,0,-87,-69,-90,2
-39,-68,-56,-71,-59,-71,-59,6
-83,0,-60,0,-87,-66,-90,2
-55,-57,-66,-63,-79,-60,-76,4
-62,-59,-79,-34,-74,-60,-76,4
-86,0,-77,0,0,-52,0,1
-79,0,-73,0,0,-38,0,1
-79,0,-73,0,0,-38,0,1
-52,-59,-73,-57,-72,-60,-72,4
-63,-87,-57,-85,-54,-72,-57,6
-59,-65,-79,-55,-74,-60,-76,4
-64,-81,-78,-80,-61,-74,-62,5
-78,-64,-85,-80,-77,-37,-80,3
-55,-69,-69,-69,-77,-60,-77,4
-73,-64,-69,-80,-77,-53,-78,3
-61,-60,-70,-55,-75,-60,-76,4
-71,-86,-78,-86,-66,-80,-65,5
-54,-86,-60,-68,-59,-70,-57,6
-92,0,-84,0,0,-51,0,1
-85,0,-78,0,0,-35,0,1
-76,0,-29,0,-87,-73,-83,2
-73,-83,-78,-80,-64,-78,-66,5
-78,0,-47,0,-87,-63,-90,2
-55,-69,-76,-63,-77,-60,-75,4
-56,-60,-69,-61,-70,-60,-70,4
-75,-64,-77,-80,-77,-31,-88,3
-53,-86,-39,-68,-32,-64,-32,6
-51,-64,-54,-92,-73,-32,-73,3
-72,-64,-77,-80,-77,-31,-88,3
-84,0,-71,0,0,-54,0,1
-73,-83,-78,-80,-60,-76,-58,5
-87,0,-54,0,-87,-68,-86,2
-56,-40,-59,-55,-79,-60,-81,4
-72,-64,-70,-92,-89,-32,-90,3
-51,-69,-74,-63,-77,-60,-76,4
-68,-85,-78,-78,-56,-80,-56,5
-48,-87,-61,-64,-67,-63,-69,6
-87,0,-52,0,-87,-64,-88,2
-82,0,-40,0,-87,-57,-90,2
-87,0,-53,0,-87,-64,-88,2
-53,-63,-68,-64,-71,-60,-76,4
-85,0,-58,0,-87,-67,-90,2
-88,0,-80,0,0,-35,0,1
-48,-66,-49,-68,-62,-71,-63,6
-79,0,-40,0,-87,-57,-90,2
-60,-87,-52,-87,-57,-63,-57,6
-58,-86,-54,-68,-36,-64,-37,6
-73,-86,-78,-78,-66,-80,-62,5
-44,-77,-57,-64,-64,-62,-63,6
-79,0,-61,0,0,-58,0,1
-63,-87,-62,-85,-57,-72,-55,6
-84,0,-51,0,-87,-57,-90,2
-70,-64,-73,-80,-77,-30,-81,3
-57,-64,-73,-44,-83,-60,-80,4
-62,-87,-78,-78,-63,-79,-62,5
-51,-86,-45,-82,-58,-66,-60,6
-74,-86,-78,-78,-65,-80,-65,5
-87,0,-59,0,-87,-65,-90,2
-66,-64,-37,-92,-83,-32,-82,3
-59,-54,-74,-58,-74,-60,-76,4
-80,0,-72,0,0,-35,0,1
-84,0,-81,0,0,-37,0,1
-71,-83,-78,-86,-67,-81,-69,5
-86,0,-55,0,-87,-68,-86,2
-83,0,-52,0,-87,-64,-88,2
-41,-76,-50,-68,-63,-70,-61,6
-87,0,-61,0,-87,-69,-90,2
-75,-64,-62,-80,-77,-53,-78,3
-85,0,-78,0,0,-35,0,1
-77,-64,-67,-92,-83,-44,-84,3
-54,-59,-66,-57,-79,-60,-76,4
-83,0,-80,0,0,-35,0,1
-41,-83,-61,-64,-66,-63,-67,6
-76,0,-61,0,0,-58,0,1
-60,-52,-66,-57,-79,-60,-76,4
-86,0,-72,0,0,-35,0,1
-85,0,-64,0,-87,-66,-90,2
-62,-85,-78,-78,-57,-80,-55,5
-56,-59,-72,-51,-83,-60,-76,4
-82,0,-43,0,-78,-64,-83,2
-71,-64,-72,-92,-89,-29,-90,3
-75,0,-42,0,-87,-57,-90,2
-71,-64,-68,-92,-90,-32,-86,3
-88,0,-82,0,0,-52,0,1
-86,0,-55,0,-87,-69,-90,2
-82,0,-55,0,-87,-65,-90,2
-64,-71,-73,-51,-83,-60,-76,4
-75,0,-40,0,-87,-53,-90,2
-40,-80,-59,-71,-56,-53,-56,6
-58,-53,-68,-58,-74,-60,-76,4
-61,-64,-85,-80,-77,-31,-78,3
-68,-58,-73,-52,-83,-60,-76,4
-53,-59,-66,-55,-76,-60,-76,4
-64,-64,-46,-92,-80,-32,-76,3
-73,0,-38,0,-87,-73,-83,2
-72,-83,-78,-80,-69,-75,-68,5
-52,-61,-79,-60,-74,-60,-76,4
-69,-85,-78,-78,-64,-80,-66,5
-79,0,-61,0,0,-58,0,1
-54,-59,-71,-57,-78,-60,-79,4
-85,0,-70,0,-87,-70,-90,2
-61,-81,-78,-80,-53,-74,-53,5
-80,0,-63,0,-87,-65,-90,2
-87,0,-80,0,0,-35,0,1
-82,0,-72,0,0,-58,0,1
-58,-86,-56,-85,-56,-72,-59,6
-70,-87,-78,-78,-66,-83,-66,5
-89,0,-77,0,0,-36,0,1
-73,0,-32,0,-87,-53,-90,2
-85,0,-79,0,0,-35,0,1
-90,0,-77,0,0,-35,0,1
-56,-54,-70,-59,-78,-60,-73,4
-72,-83,-78,-80,-57,-81,-58,5
-86,0,-71,0,0,-54,0,1
-71,-64,-85,-80,-89,-33,-80,3
-83,0,-72,0,-87,-65,-90,2
-65,-64,-62,-92,-84,-32,-81,3
-31,-83,-61,-64,-60,-62,-60,6
-88,0,-61,0,-87,-64,-86,2
-83,0,-55,0,-87,-64,-86,2
-40,-54,-66,-73,-70,-60,-74,4
-51,-88,-64,-64,-63,-62,-63,6
-74,-64,-85,-80,-89,-33,-80,3
-60,-59,-70,-65,-80,-60,-76,4
-84,0,-57,0,-87,-69,-90,2
-48,-69,-70,-67,-72,-60,-73,4
-92,0,-84,0,0,-39,0,1
-90,0,-79,0,0,-35,0,1
-27,-68,-60,-56,-58,-53,-59,6
-59,-64,-75,-80,-77,-53,-78,3
-60,-38,-79,-56,-74,-60,-76,4
-54,-63,-57,-59,-70,-60,-77,4
-54,-90,-56,-85,-52,-72,-51,6
-71,-64,-82,-92,-81,-23,-86,3
-80,0,-63,0,-87,-75,-90,2
-41,-78,-43,-75,-59,-63,-60,6
-70,-64,-48,-92,-83,-33,-82,3
-70,-83,-78,-80,-57,-76,-58,5
-78,0,-40,0,-87,-70,-83,2
-73,0,-39,0,-87,-57,-90,2
-65,-87,-78,-78,-59,-83,-57,5
-40,-77,-59,-75,-66,-62,-66,6
-87,0,-64,0,-87,-65,-90,2
-68,-64,-54,-80,-77,-53,-78,3
-51,-72,-56,-67,-67,-75,-66,6
-80,0,-39,0,-87,-53,-90,2
-89,0,-71,0,0,-35,0,1
-85,0,-60,0,-87,-64,-86,2
-56,-83,-53,-68,-59,-69,-57,6
-85,0,-57,0,-87,-65,-90,2
-69,-83,-78,-80,-69,-76,-58,5
-51,-65,-83,-66,-77,-60,-76,4
-26,-68,-56,-60,-67,-75,-62,6
-86,0,-77,0,0,-52,0,1
-80,0,-57,0,-87,-66,-90,2
-70,-64,-75,-80,-78,-33,-79,3
-55,-59,-77,-57,-75,-60,-72,4
-77,-87,-78,-78,-60,-78,-62,5
-55,-87,-50,-78,-48,-64,-46,6
-62,-87,-62,-87,-57,-72,-57,6
-81,0,-58,0,-87,-65,-90,2
-84,0,-55,0,-87,-68,-86,2
-72,-64,-77,-80,-77,-31,-88,3
-64,-81,-78,-80,-62,-74,-64,5
-48,-76,-54,-68,-63,-71,-57,6
-57,-64,-73,-52,-83,-60,-76,4
-69,-64,-67,-92,-90,-30,-86,3
-70,-86,-78,-78,-70,-80,-65,5
-54,-58,-70,-59,-80,-60,-82,4
-67,-85,-78,-78,-58,-80,-60,5
-68,-85,-78,-78,-59,-80,-72,5
-68,-86,-78,-86,-61,-81,-62,5
-57,-86,-52,-68,-52,-64,-52,6
-83,0,-41,0,-87,-68,-90,2
-86,0,-68,0,0,-57,0,1
-79,0,-61,0,0,-58,0,1
-62,-61,-70,-55,-75,-60,-76,4
-70,-64,-74,-92,-89,-29,-90,3
-67,-64,-67,-92,-78,-33,-76,3
-53,-47,-70,-63,-75,-60,-76,4
-55,-61,-70,-54,-88,-60,-76,4
-67,-83,-78,-80,-63,-75,-63,5
-35,-65,-56,-65,-67,-75,-62,6
-49,-51,-66,-56,-70,-60,-74,4
-49,-84,-51,-74,-55,-66,-54,6
-86,0,-77,0,0,-52,0,1
-74,-87,-78,-78,-61,-77,-63,5
-86,0,-77,0,0,-52,0,1
-56,-87,-54,-78,-51,-64,-50,6
-79,-64,-75,-80,-77,-45,-81,3
-86,0,-52,0,-87,-65,-88,2
-74,-64,-77,-80,-77,-31,-88,3
-60,-64,-54,-92,-81,-32,-78,3
-48,-75,-61,-70,-59,-71,-67,6
-70,-64,-82,-92,-81,-50,-86,3
-68,-81,-78,-80,-60,-74,-62,5
-89,0,-86,0,0,-49,0,1
-90,0,-80,0,0,-35,0,1
-68,-64,-75,-80,-77,-31,-88,3
-53,-78,-50,-68,-62,-60,-63,6
-54,-54,-65,-43,-70,-60,-73,4
-41,-64,-81,-80,-68,-53,-65,3
-72,-86,-78,-78,-67,-80,-65,5
-83,0,-55,0,-87,-57,-90,2
-55,-65,-70,-45,-75,-60,-76,4
-71,-64,-78,-80,-89,-33,-80,3
-74,-64,-81,-92,-81,-23,-90,3
-84,0,-81,0,0,-40,0,1
-39,-80,-56,-77,-59,-71,-58,6
-46,-85,-55,-71,-62,-53,-56,6
-65,-83,-78,-80,-59,-79,-61,5
-60,-71,-73,-64,-83,-60,-76,4
-59,-62,-72,-54,-77,-60,-82,4
-66,-81,-78,-80,-53,-74,-56,5
-70,-83,-78,-80,-64,-78,-65,5
-63,-64,-78,-80,-78,-33,-79,3
-69,-83,-78,-80,-58,-54,-58,5
-69,-87,-78,-78,-64,-78,-65,5
-79,0,-32,0,-87,-53,-90,2
-57,-83,-59,-74,-63,-74,-63,6
-50,-62,-77,-59,-76,-60,-74,4
-74,-64,-67,-92,-83,-44,-82,3
-57,-90,-62,-85,-44,-69,-42,6
-71,-83,-78,-80,-59,-76,-58,5
-88,0,-77,0,0,-35,0,1
-86,0,-77,0,0,-52,0,1
-80,0,-72,0,0,-40,0,1
-70,-64,-82,-92,-81,-23,-90,3
-58,-56,-79,-41,-74,-60,-76,4
-87,0,-56,0,-87,-61,-90,2
-59,-55,-74,-57,-74,-60,-76,4
-90,0,-68,0,0,-58,0,1
-57,-82,-39,-82,-53,-66,-55,6
-86,0,-73,0,0,-35,0,1
-86,0,-68,0,0,-57,0,1
-42,-77,-65,-73,-69,-53,-71,6
-61,-64,-75,-80,-73,-53,-74,3
-83,0,-48,0,-87,-62,-90,2
-66,-87,-78,-78,-49,-83,-48,5
-58,-59,-70,-73,-75,-60,-76,4
-45,-88,-66,-64,-67,-56,-67,6
-29,-79,-65,-68,-58,-53,-68,6
-67,-64,-54,-80,-84,-53,-78,3
-86,0,-77,0,0,-52,0,1
-58,-87,-78,-78,-59,-83,-58,5
-74,0,-39,0,-87,-53,-90,2
-69,-86,-42,-85,-40,-70,-41,6
-68,-64,-63,-92,-83,-54,-82,3
-88,0,-72,0,0,-58,0,1
-50,-70,-68,-49,-74,-60,-76,4
-66,-81,-78,-80,-60,-74,-61,5
-50,-68,-50,-73,-65,-75,-59,6
-90,0,-71,0,0,-35,0,1
-86,0,-68,0,0,-55,0,1
-72,-83,-78,-80,-62,-76,-62,5
-38,-81,-63,-56,-63,-53,-66,6
-69,-87,-78,-78,-60,-77,-62,5
-72,-64,-77,-92,-84,-35,-86,3
-87,0,-72,0,0,-35,0,1
-87,0,-58,0,-87,-66,-90,2
-66,-64,-65,-92,-89,-33,-90,3
-55,-59,-70,-56,-75,-60,-86,4
-84,0,-64,0,-87,-66,-90,2
-67,-83,-78,-80,-59,-74,-59,5
-53,-78,-53,-74,-64,-60,-64,6
-74,-64,-75,-80,-77,-38,-88,3
-53,-55,-70,-58,-88,-60,-76,4
-65,-81,-78,-80,-55,-74,-57,5
-47,-74,-59,-68,-66,-71,-68,6
-55,-86,-59,-85,-39,-72,-38,6
-56,-84,-54,-78,-34,-64,-38,6
-80,0,-43,0,-87,-53,-90,2
-53,-84,-51,-74,-62,-66,-54,6
-81,0,-56,0,0,-35,0,1
-58,-87,-78,-78,-50,-83,-50,5
-33,-76,-60,-64,-69,-63,-67,6
-39,-80,-56,-65,-65,-75,-62,6
-74,-64,-82,-92,-81,-23,-90,3
-71,-64,-67,-92,-78,-33,-76,3
-66,-87,-53,-86,-57,-72,-57,6
-54,-90,-48,-85,-40,-70,-27,6
-78,0,-40,0,-87,-69,-83,2
-85,0,-56,0,-87,-66,-90,2
-72,-83,-78,-86,-61,-81,-62,5
-39,-75,-55,-73,-59,-64,-61,6
-90,0,-60,0,-87,-66,-90,2
-69,-64,-57,-92,-83,-56,-82,3
-38,-78,-58,-80,-63,-60,-63,6
-62,-65,-73,-42,-75,-60,-80,4
-80,0,-72,0,0,-35,0,1
-65,-83,-78,-80,-57,-81,-58,5
-66,-83,-78,-80,-60,-74,-59,5
-66,-87,-54,-78,-56,-63,-46,6
-71,-83,-78,-80,-57,-80,-58,5
-74,-64,-71,-80,-77,-38,-81,3
-72,-64,-56,-92,-89,-40,-90,3
-65,-83,-78,-80,-60,-76,-58,5
-89,0,-50,0,-87,-66,-90,2
-84,0,-72,0,0,-35,0,1
-71,-64,-77,-92,-90,-35,-86,3
-54,-78,-56,-68,-63,-53,-64,6
-81,0,-55,0,-87,-68,-86,2
-63,-85,-78,-78,-70,-80,-65,5
-36,-70,-52,-60,-59,-63,-60,6
-92,0,-84,0,0,-51,0,1
-72,-64,-79,-80,-77,-37,-80,3
-55,-69,-71,-63,-71,-60,-76,4
